ID	ref_short	DOI	reference	lat	long	locality	country	BrazilState	DO	marked	LT	herbarium	feces	ground.survey	species	Nindiv	Ntraps	trapsurface	studylength	frequency	peak	vegetation	biome	trees	shrubs	herbs	liana	others
73	Griz & Machado 2001		Griz, L. M. S. and Machado, I. C. S. (2001). Fruiting phenology and seed dispersal syndromes in caatinga, a tropical dry forest in the northeast of Brazil. Journal of Tropical Ecology 17: 303-321.	-8.468056	-36.734167	Alagoinha	Brazil	Pernambuco	yes	marked	no	no	no	no	42	420	NA	NA	12	biweekly	rainy season	desert and xeric shrublands	13	yes	yes	yes	yes	Cactaceae
74	Guarim Neto et al.  1994		Guarim Neto, Germano, Guarim, Vera Lucia MS and Prance, Ghillean T (1994). Structure and floristic composition of the trees of an area of cerrado near Cuiabá, Mato Grosso, Brazil. Kew Bulletin: 499-509.	-15.348333	-56.239167	Nossa Senhora da Guia	Brazil	Mato Grosso	yes	marked	no	no	no	no	26	187	NA	NA	12	monthly	rainy season	cerrado woodland	7	yes	no	no	no	no
75	Guevara de Lampe et al 1992	10.2307/2388474	de Lampe, M. G., Bergeron, Y., McNeil, R. and Leduc, A. (1992). Seasonal flowering and fruiting patterns in tropical semiarid vegetation of Northeastern Venezuela. Biotropica 24(1): 64-76.	10.646383	-63.697672	Guarapo-Oturo, Araya Peninsule, State of Sucre, plot 2	Venezuela	NA	yes	marked	no	no	no	no	59	NA	NA	NA	12	biweekly	dry season	desert and xeric shrublands	13	yes	yes	yes	no	treelets
76	Guevara de Lampe et al 1992	10.2307/2388474	de Lampe, M. G., Bergeron, Y., McNeil, R. and Leduc, A. (1992). Seasonal flowering and fruiting patterns in tropical semiarid vegetation of Northeastern Venezuela. Biotropica 24(1): 64-76.	10.4925	-63.693889	Laguna de Cocos plot2	Venezuela	NA	yes	marked	no	no	no	no	85	NA	NA	NA	12	biweekly	dry season	desert and xeric shrublands	13	yes	yes	no	no	treelets
77	Hasui et al 2012	10.1016/j.actao.2012.10.001	Hasui, Erica, Ramos, Flavio Nunes, Tamashiro, Jorge Yoshio and Silva, Wesley Rodrigues (2012). Non-sequential fruit tracking by birds along an altitudinal gradient. Acta Oecologica-International Journal of Ecology 45: 66-78.	-24.278333	-48.407778	Intervales, Hilltop	Brazil	Sao Paulo	no		yes	no	no	no	80	NA	NA	NA	12	monthly	aseasonal	rainforest	1	yes	yes	no	no	no
78	Hasui et al 2012	10.1016/j.actao.2012.10.001	Hasui, Erica, Ramos, Flavio Nunes, Tamashiro, Jorge Yoshio and Silva, Wesley Rodrigues (2012). Non-sequential fruit tracking by birds along an altitudinal gradient. Acta Oecologica-International Journal of Ecology 45: 66-78.	-24.304722	-48.364722	Intervales, Middle Slope	Brazil	Sao Paulo	no		yes	no	no	no	80	NA	NA	NA	36	monthly	aseasonal	rainforest	1	yes	yes	no	no	no
79	Hasui et al 2012	10.1016/j.actao.2012.10.001	Hasui, Erica, Ramos, Flavio Nunes, Tamashiro, Jorge Yoshio and Silva, Wesley Rodrigues (2012). Non-sequential fruit tracking by birds along an altitudinal gradient. Acta Oecologica-International Journal of Ecology 45: 66-78.	-24.316389	-48.416667	Intervales, Valley Bottom	Brazil	Sao Paulo	no		yes	no	no	no	80	NA	NA	NA	12	monthly	aseasonal	rainforest	1	yes	yes	no	no	no
80	Haugaasen & Peres 2005	10.1111/j.1744-7429.2005.00079.x	Haugaasen, T. and Peres, C. A. (2005). Tree phenology in adjacent Amazonian flooded and unflooded forests. Biotropica 37(4): 620-630.	-4.351389	-62.466667	Uauaçu, igapo	Brazil	Amazonas	yes	marked	no	no	no	no	45	400	NA	NA	13	monthly	dry season	seasonally flooded forests	1	yes	no	no	no	no
81	Haugaasen & Peres 2005	10.1111/j.1744-7429.2005.00079.x	Haugaasen, T. and Peres, C. A. (2005). Tree phenology in adjacent Amazonian flooded and unflooded forests. Biotropica 37(4): 620-630.	-4.351389	-62.466667	Uauaçu,terra firme	Brazil	Amazonas	yes	marked	no	no	no	no	76	400	NA	NA	40	monthly	transition dry to wet season	rainforest	1	yes	no	no	no	no
82	Haugaasen & Peres 2005	10.1111/j.1744-7429.2005.00079.x	Haugaasen, T. and Peres, C. A. (2005). Tree phenology in adjacent Amazonian flooded and unflooded forests. Biotropica 37(4): 620-630.	-4.351389	-62.466667	Uauaçu, varzea	Brazil	Amazonas	yes	marked	no	no	no	no	76	400	NA	NA	35	monthly	transition dry to wet season	seasonally flooded forests	1	yes	no	no	no	no
83	Hawes 2012	10.1111/btp.12315	Hawes, Joseph E. and Peres, Carlos A. (2016). Patterns of plant phenology in Amazonian seasonally flooded and unflooded forests. Biotropica: n/a-n/a.	-5.52689755	-67.334	Jurua, terra firme	Brazil	Amazonas	yes	marked	yes	no	no	yes	120	1056	96	0.5	12	monthly for trees and biweekly for seed traps	dry season	rainforest	1	yes	no	no	yes	no
84	Hawes 2012	10.1111/btp.12315	Hawes, Joseph E. and Peres, Carlos A. (2016). Patterns of plant phenology in Amazonian seasonally flooded and unflooded forests. Biotropica: n/a-n/a.	-5.402215	-67.265	Jurua, varzea	Brazil	Amazonas	yes	marked	yes	no	no	yes	120	1056	96	0.5	12	monthly for trees and biweekly for seed traps	dry season	seasonally flooded forests	1	yes	no	no	yes	no
85	Heithaus et al 1975	10.2307/1936295	Heithaus, E. R., Fleming, T. H. and Opler, P. A. (1975). Foraging patterns and resource utilization in 7 species of bats in a seasonal tropical forest. Ecology 56(4): 841-854.	10.425086	-85.089722	Finca la Pacifica, Canas, Guanacaste	Costa Rica	NA	yes	marked	no	no	no	no	41	NA	NA	NA	24	monthly	rainy season	tropical dry forest	2	yes	no	no	no	no
86	Hilty 1980	10.2307/2387701	Hilty, S. L. (1980). Flowering and fruiting periodicity in a premontane rain-forest in pacific Colombia. Biotropica 12(4): 292-306.	3.533333	-76.8	Alto Yunda	Colombia	NA	yes	marked	no	no	no	no	164	621	NA	NA	14	biweekly	rainy season	montane formations	1	yes	yes	no	no	yes
87	Ibarra-Manríquez et al.  1991	10.2307/2388201	Ibarra-Manriquez, Guillermo, Sanchez-Garfias, Beatriz and Gonzalez-Garcia, Laura (1991). Fenologia de Lianas y Arboles Anemocoros en Una Selva Calido-Humeda de Mexico. Biotropica 23(3): 242-254.	18.416667	-95.066667	Los Tuxtlas	Mexico	NA	yes	unmarked	no	yes	no	no	59	NA	NA	NA	12	monthly	primary in dry season and secondary in rainy season	rainforest	1	yes	no	no	yes	
88	Ivizi & Araujo 1997		Ivizi, L. and Araujo, G. M. (1997). Phenology of 14 tree species of a deciduous seasonal forest in Uberlandia, MG, central Brazil. Arquivos de Biologia e Tecnologia 40(4): 883-892.	-18.766667	-41.2	Uberlandia	Brazil	Minas Gerais	yes	marked	no	no	no	no	14	NA	NA	NA	18	biweekly	aseasonal	tropical dry forest	1	yes	yes	no	no	no
89	Janzen 1967	http://www.jstor.org/stable/2406621	Janzen, D. H. (1967). Synchronization of Sexual Reproduction of Trees within Dry Season in Central America. Evolution 21(3): 620-637.	8.6475	-83.206667	Golfito-Palmar Sur	Costa Rica	NA	yes	marked	no	no	no	no	280	NA	NA	NA	12	irregular	dry season	rainforest	1					
90	Jara-Guerrero et al 2011	10.1111/j.1744-7429.2011.00754.x	Jara-Guerrero, A., De la Cruz, M. and Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica 43(6): 722-730.	-4.268056	-80.25	dry forests in Loja and El Oro Provinces, S Ecuador	Ecuador	NA	yes	unmarked	no	yes	no	no	54	NA	NA	NA	12	monthly	"rainy for zoochorous spp; dry for anemocorous"	tropical dry forest	1	yes	yes	no	no	treelets
91	Justiniano & Fredericksen 2000	10.1111/j.1744-7429.2000.tb00470.x	Justiniano, M. J. and Fredericksen, T. S. (2000). Phenology of tree species in Bolivian dry forests. Biotropica 32(2): 276-281.	-16.216667	-61.833333	Lomerio 	Bolivia	NA	yes	marked	no	no	no	no	39	453	NA	NA	24	monthly	primary in dry season and secondary in rainy season	tropical dry forest	2	yes	no	no	no	no
92	Knowles & Parrotta 1997		Knowles, O.H. and Parrotta, J.A. (1997). Phenological observations and tree seed characteristics in an equatorial moist forest at Trombetas, Pará State, Brazil. Phenology in Seasonal Climates: 67-84.	-1.666667	-56.4	Trombetas	Brazil	Para	yes	marked	no	no	no	no	160	NA	NA	NA	216	unespecified	"rainy for zoochorous spp; dry for anemocorous"	rainforest	1	yes	no	no	no	no
93	Koptur et al. 1988	10.1017/S0266467400002984	Koptur, S., Haber, W. A., Frankie, G. W. and Baker, H. G. (1988). Phenological studies of shrub and treelet species in tropical cloud forest of Costa Rica. Journal of Tropical Ecology 4: 323-346.	10.3	-84.8	Monteverde	Costa Rica	NA	yes	marked	no	no	no	no	107	470	NA	NA	28	monthly	transition wet to dry season	montane formations	1	yes	yes	no	no	no
94	Kubitzki & Ziburski 1994	10.2307/2389108	Kubitzki, K. and Ziburski, A. (1994). Seed dispersal in flood-plain forests of Amazonia. Biotropica 26(1): 30-43.	-2.394722	-60.920556	igapo Rio Negro 	Brazil	Amazonas	yes	marked	no	no	no	no	15	NA	NA	NA	23	unespecified	rainy season	seasonally flooded forests	1	yes	no	no	no	no
95	Kubitzki & Ziburski 1994	10.2307/2389108	Kubitzki, K. and Ziburski, A. (1994). Seed dispersal in flood-plain forests of Amazonia. Biotropica 26(1): 30-43.	-3.233389	-59.931389	Ilha da Marchaneria	Brazil	Amazonas	yes	marked	no	no	no	no	18	NA	NA	NA	23	unespecified	transition wet to dry season	seasonally flooded forests	1	yes	no	no	no	no
96	Lee et al. 2014	Thesis	Lee, A. T. K. (2010). Parrot claylicks: distribution, patterns of use and ecological correlates from a parrot assemblage in Southeastern Peru.  PhD Thesis, Manchester Metropolitan University. 196 pp.	-13.13142059	-69.60975663	Tambopata	Peru	NA	yes	marked	no	no	no	no	87	1819	NA	NA	36	monthly	rainy season	rainforest	1	yes	no	no	no	no
97	Lemus-Jimenez & Ramirez 2002		Lemus-Jiménez, L. J. and Ramírez, N. (2002). Reproductive phenology of three vegetation types from a coastal plain of Paraguaná Penninsula, Venezuela. Acta Científica Venezolana 53(4): 266-278.	11.689683	-69.813408	Paraguana Peninsula, mangle	Venezuela	NA	yes	marked	no	no	no	no	19	NA	NA	NA	36	monthly	dry season	seasonally flooded forests	14	yes	yes	yes	no	no
98	Lemus-Jimenez & Ramirez 2002		Lemus-Jiménez, L. J. and Ramírez, N. (2002). Reproductive phenology of three vegetation types from a coastal plain of Paraguaná Penninsula, Venezuela. Acta Científica Venezolana 53(4): 266-278.	11.843889	-69.857778	Paraguana Peninsula, grassland	Venezuela	NA	yes	marked	no	no	no	no	29	NA	NA	NA	36	monthly	dry season	desert and xeric shrublands	13	yes	yes	yes	no	no
99	Lenza & Klink 2006	10.1590/S0100-84042006000400013	Lenza, E. and Klink, C. A. (2006). Phenological behavior of woody species in a “cerrado” sensu stricto of Brasília, DF. Revista Brasileira de Botânica 29(4): 627-638.	-15.932222	-47.965833	IGBE	Brazil	Distrito Federal	yes	marked	no	no	no	no	19	226	NA	NA	39	biweekly	"rainy for zoochorous spp; dry for anemocorous"	cerrado woodland	7	yes	yes	no	no	no
100	Levey 1988	http://www.jstor.org/stable/1942539	Levey, D. J. (1988). Spatial and temporal variation in Costa Rican fruit and fruit- eating bird abundance. Ecological Monographs 58(4): 251-269.	10.422	-84.015	La Selva	Costa Rica	NA	yes	marked	no	no	no	no	116	NA	NA	NA	12	monthly	rainy season	rainforest	1	yes	yes	no	no	no
101	Lima & Rodal 2010	10.1016/j.jaridenv.2010.05.009	Lima, A. L. A. and Rodal, M. J. N. (2010). Phenology and wood density of plants growing in the semi-arid region of northeastern Brazil. Journal of Arid Environments 74(11): 1363-1373.	-8.311944	-38.195833	Mauricio Dantas Private NR,  PE	Brazil	Pernambuco	yes	marked	no	no	no	no	19	196	NA	NA	36	monthly	rainy season	desert and xeric shrublands	13	yes	no	no	no	no
102	Lima et al 2012	10.1007/s00468-012-0735-2	Lima, André Luiz Alves, Sá Barretto Sampaio, Everardo Valadares, Castro, Cibele Cardoso, Rodal, Maria Jesus Nogueira, Antonino, Antônio Celso Dantas and Melo, André Laurênio (2012). Do the phenology and functional stem attributes of woody species allow for the identification of functional groups in the semiarid region of Brazil? Trees 26(5): 1605-1616.	-7.983333	-38.321111	Experimental Station Lauro Bezerra, Pernambuco	Brazil	Pernambuco	yes	marked	no	no	no	no	24	264	NA	NA	31	biweekly	aseasonal	desert and xeric shrublands	13	yes	yes	no	no	no
103	Lobo et al.  2008		Lobo, J., Aguilar, R., Chacón, E. and Fuchs, E. (2008). Phenology of tree species of the Osa Peninsula and Golfo Dulce region, Costa Rica. Natural and Cultural History of the Golfo Dulce Region, Costa Rica Stapfia 88: 547-556.	8.55	-83.5	Peninsula de Osa and  Golfo de Dulce	Costa Rica	NA	yes	unmarked	no	no	no	no	73	NA	NA	NA	144	monthly	primary in rainy season and secondary in dry season	rainforest	1	yes	no	no	no	no
104	Luna et al. unpublished	unpublished		18.735278	-101.686111	Llano de Ojo de Agua	Mexico	NA	yes	marked	no	no	no	no	15	NA	NA	NA	48	monthly	non-available	tropical dry forest	2	yes	no	no	no	no
105	Machado et al 1997	10.1111/j.1744-7429.1997.tb00006.x	Machado, I. C. S., Barros, L. M. and Sampaio, E. V. S. B. (1997). Phenology of caatinga species at Serra Talhada, PE, northeastern Brazil. Biotropica 29(1): 57-68.	-7.983333	-38.321111	Research Station of Empresa Pernambucana de Pesquisa Agropecuaria (IPA), Serra Talhada, PE	Brazil	Pernambuco	yes	marked	no	no	no	no	19	190	NA	NA	24	biweekly	"rainy for zoochorous spp; dry for anemocorous"	desert and xeric shrublands	13	yes	yes	no	no	no
106	Marques & Oliveira 2004	10.1590/S0100-84042004000400011	Marques, M. C. M. and Oliveira, P. E. A. M. (2004). Phenology of canopy and understory species of two Coastal Plain Forests in Southern Brazil. Revista Brasileira de Botânica 27(4): 713-723.	-25.575	-48.387	Ilha do Mel, non-flooded forest	Brazil	Parana	yes	marked	no	no	no	no	29	NA	NA	NA	23	monthly	transition wet to dry season	rainforest	1	yes	yes	yes	no	no
107	Marques & Oliveira 2008	10.1111/j.1438-8677.2008.00061.x	Marques, M. C. M. and Oliveira, P. E. A. M. (2008). Seasonal rhythms of seed rain and seedling emergence in two tropical rain forests in southern Brazil. Plant Biology 10(5): 596-603.	-25.575	-48.387	Ilha do Mel, flooded restinga	Brazil	Parana	no		yes	no	no	no	75	NA	120	0.25	24	monthly	transition wet to dry season	rainforest	1	yes	yes	yes	yes	treelets
108	Marques & Oliveira 2008	10.1111/j.1438-8677.2008.00061.x	Marques, M. C. M. and Oliveira, P. E. A. M. (2008). Seasonal rhythms of seed rain and seedling emergence in two tropical rain forests in southern Brazil. Plant Biology 10(5): 596-603.	-25.575	-48.387	Ilha do Mel, unflooded restinga	Brazil	Parana	no		yes	no	no	no	55	NA	120	0.25	24	monthly	transition wet to dry season	rainforest	1	yes	yes	yes	yes	treelets
109	Marques et al 2004	10.1023/B:VEGE.0000029325.85031.90	Marques, M. C. M., Roper, J. J. and Salvalaggio, A. P. B. (2004). Phenological patterns among plant life-forms in a subtropical forest in southern Brazil. Plant Ecology 173(2): 203-213.	-25.425	-49.317	Parana	Brazil	Parana	yes	marked	no	no	no	no	37	216	NA	NA	26	biweekly	aseasonal	temperate evergreen forest	1	yes	yes	no	yes	no
110	Martínez Sovero & Brightsmith unpublished	unpublished		-13.13142059	-69.60975663	Tambopata	Peru	NA	yes	marked	no	no	no	no	337	1338	NA	NA	31	monthly	non-available	rainforest	1	yes	no	no	no	no
111	Martos et al 2009		Martos, J. R., Scarpati, M., Rojas, C. and Delgado, G. E. (2009). Phenology of some species that are food for the White-winged Guan Penelope albipennis. Revista Peruana de Biología 15(2): 51-58.	-6.521389	-79.459167	Reserva Ecol Privada Chaparrí	Peru	NA	yes	marked	no	no	no	no	17	42	NA	NA	24	monthly	rainy season	tropical dry forest	2	yes	no	no	no	no
112	Matthes 1980	Thesis	Matthes, L. A. F. (1980). Composição florística, estutrura e fenologia de uma floresta residual do planalto paulista: bosque dos Jequitibás (Campinas, SP) Insituto de Biologia MSc.	-22.916667	-47.05	Bosque dos Jequitibás	Brazil	Sao Paulo	yes	marked	no	no	no	no	165	NA	NA	NA	16	dayly	dry season	rainforest	1	yes	no	no	no	no
113	McLaren & McDonald 2005	10.1111/j.1744-7429.2005.00075.x	McLaren, K. P. and McDonald, M. A. (2005). Seasonal patterns of flowering and fruiting in a dry tropical forest in Jamaica. Biotropica 37(4): 584-590.	17.874	-76.943	Hellshire Hills protected area, costa sul da Jamaica	Jamaica	NA	yes	marked	no	no	no	no	63	868	NA	NA	26	monthly	transition dry to wet season	tropical dry forest	2	yes	no	no	no	no
114	Medeiros et al 2007	10.1016/j.flora.2006.11.002	Medeiros, D. P. W., Lopes, A. V. and Zickel, C. S. (2007). Phenology of woody species in tropical coastal vegetation, northeastern Brazil. Flora 202(7): 513-520.	-8.53	-35.018056	RPPN Nossa Senhora do Outeiro de Maracaípe PE	Brazil	Pernambuco	yes	marked	no	no	no	no	51	156	NA	NA	16	monthly	transition dry to wet season	rainforest	14	yes	yes	no	no	no
115	Mendoza unpublished	unpublished		4.083333	-52.666667	Nouragues field station	French Guiana	NA	no		yes	no	no	no	45	NA	160	0.5	120	biweekly	rainy season	rainforest	1	yes	no	no	yes	no
116	Mikich & Silva 2001	10.1590/S0102-33062001000100010	Mikich, S. B and Silva, S. M. (2001). Floristic and phenological study of zoochoric species of Semideciduous Seasonal Forest remnants in the mid-west region of Parana State, Brazil. Acta Botanica Brasilica 15(1): 89-113.	-23.916667	-51.95	centro-oeste do Parana	Brazil	Parana	yes	marked	no	no	no	no	132	NA	NA	NA	108	monthly	dry season	seasonal forest	1	yes	yes	yes	yes	no
117	Miranda 1995		Miranda, I.S. (1995). Fenologia do estrato arbóreo de uma comunidade de cerrado em Alter-do-Chão, PA. Revista Brasileira de Botânica 18: 235-240.	-2.488333	-54.842389	Tapajos River, Alter-do-Chão	Brazil	Para	yes	marked	no	no	no	no	19	1983	NA	NA	14	20-day	dry season	rainforest	1	yes	no	no	no	no
118	Morellato & Leitao-Filho 1996	10.2307/2389073	Morellato, P. C. and Leitão-Filho, H. F. (1996). Reproductive phenology of climbers in a Southeastern Brazilian forest. Biotropica 28(2): 180-191.	-22.829	-47.109	Santa Genebra	Brazil	Sao Paulo	yes	marked	no	no	no	no	130	NA	NA	NA	36	weekly	dry season	seasonal forest	1	yes	yes	no	yes	no
119	Morellato et al 1989		Morellato, L. P. C., Rodrigues, R. R., Leitão-Filho, H. F. and Joly, A. C. (1989). Estudo comparativo da fenologia de espécies arbóreas de floresta de altitude e floresta mesófila semidecídua na Serra do Japi, Jundiaí, São Paulo. Revista Brasileira de Botânica 12: 85-98.	-23.218333	-46.933333	Serra do Japi, altitudinal forest	Brazil	Sao Paulo	yes	marked	no	no	no	no	28	150	NA	NA	12	biweekly	rainy season	rainforest	1	yes	no	no	no	no
120	Morellato et al 1989		Morellato, L. P. C., Rodrigues, R. R., Leitão-Filho, H. F. and Joly, A. C. (1989). Estudo comparativo da fenologia de espécies arbóreas de floresta de altitude e floresta mesófila semidecídua na Serra do Japi, Jundiaí, São Paulo. Revista Brasileira de Botânica 12: 85-98.	-23.218056	-46.966667	Serra do Japi, semideciduous forest	Brazil	Sao Paulo	yes	marked	no	no	no	no	16	66	NA	NA	12	biweekly	rainy season	seasonal forest	1	yes	no	no	no	no
121	Morellato et al 2000	10.1111/j.1744-7429.2000.tb00620.x	Morellato, L. P. C., Talora, D. C., Takahasi, A., Bencke, C. C., Romera, E. C. and Zipparro, V. B. (2000). Phenology of Atlantic rain forest trees: A comparative study. Biotropica 32(4B): 811-823.	-23.366	-44.833	Serra do Mar, site 1	Brazil	Sao Paulo	yes	marked	no	no	no	no	324	1262	NA	NA	17	monthly	aseasonal	rainforest	1	yes	no	no	no	no
122	Morellato et al 2000	10.1111/j.1744-7429.2000.tb00620.x	Morellato, L. P. C., Talora, D. C., Takahasi, A., Bencke, C. C., Romera, E. C. and Zipparro, V. B. (2000). Phenology of Atlantic rain forest trees: A comparative study. Biotropica 32(4B): 811-823.	-23.366	-44.833	Serra do Mar, site 2	Brazil	Sao Paulo	yes	marked	no	no	no	no	324	1262	NA	NA	17	monthly	aseasonal	rainforest	1	yes	no	no	no	no
123	Morellato et al 2000	10.1111/j.1744-7429.2000.tb00620.x	Morellato, L. P. C., Talora, D. C., Takahasi, A., Bencke, C. C., Romera, E. C. and Zipparro, V. B. (2000). Phenology of Atlantic rain forest trees: A comparative study. Biotropica 32(4B): 811-823.	-23.366	-44.833	Serra do Mar, site 3	Brazil	Sao Paulo	yes	marked	no	no	no	no	324	1262	NA	NA	17	monthly	aseasonal	rainforest	1	yes	no	no	no	no
124	Morellato et al 2000	10.1111/j.1744-7429.2000.tb00620.x	Morellato, L. P. C., Talora, D. C., Takahasi, A., Bencke, C. C., Romera, E. C. and Zipparro, V. B. (2000). Phenology of Atlantic rain forest trees: A comparative study. Biotropica 32(4B): 811-823.	-24.236	-48.078	Sabaidela, Site 4	Brazil	Sao Paulo	yes	marked	no	no	no	no	324	1262	NA	NA	17	monthly	aseasonal	rainforest	1	yes	no	no	no	no
125	Morellato unpublished	unpublished		-22.175	-47.873	Itirapina	Brazil	Sao Paulo	yes	marked	no	no	no	no	103	NA	NA	NA	120	monthly	rainy season	cerrado woodland	7	yes	yes	no	yes	
126	Mori et al 1982		Mori, S.A., Lisboa, G. and Kallunki, J.A. (1982). Fenologia de uma mata higrofila sul-baiana. Revista Theobroma 12(4): 217-230.	-14.754167	-39.233056	Centro de Pesquisas do Cacau	Brazil	Bahia	yes	marked	no	no	no	no	30	120	NA	NA	72	biweekly	aseasonal	rainforest	1	yes	no	no	no	x
127	Munhoz & Felfili 2005	10.1590/S0102-33062005000400031	Munhoz, C. B. R. and Felfili, J. M. (2005). Phenology of the herbaceous layer in a campo sujo community in the Fazenda Água Limpa, Federal District, Brazil. Acta Botanica Brasilica 19(4): 979-988.	-15.9265	-47.905778	DF, Fazenda Agua Limpa	Brazil	Distrito Federal	yes	marked	no	no	no	no	61	519	NA	NA	17	biweekly	transition wet to dry season	open grassy savanna	7	no	yes	yes	no	no
128	Muniz  2008	10.1590/S0044-59672008000400004	Muniz, F. H. (2008). Flowering and fruiting patterns of the Maranhense Amazon rainforest trees. Acta Amazonica 38(4): 617-626.	-4.266667	-46.166667	MA, buriticupu	Brazil	Maranhao	yes	marked	no	no	no	no	89	NA	NA	NA	24	monthly	transition wet to dry season	rainforest	1	yes	no	no	no	no
129	Neves & Damasceno-Junior 2011	10.1590/S1519-69842011000500009	Neves, D. R. M. and Damasceno-Junior, G. A. (2011). Post-fire phenology in a campo sujo vegetation in the Urucum plateau, Mato Grosso do Sul, Brazil. Brazilian Journal of Biology 71(4): 881-888.	-19.2	-57.583333	Santa Cruz hill	Brazil	Mato Grosso do Sul	yes	marked	no	no	no	no	48	NA	NA	NA	12	monthly	rainy season	open grassy savanna	2	no	yes	yes	yes	dwarf
130	Norconk 1996		Norconk, M.A. (1996). Seasonal variation in the diets of white-faced and bearded sakis (Pithecia pithecia and Chiropotes satanas) in Guri Lake, Venezuela. Adaptive Radiations of Neotropical Primates: 403-423.	7.358525	-62.875556	Chiropotes Island	Venezuela	NA	yes	marked	yes	no	no	no	30	NA	100	0.08	12	monthly	rainy season	rainforest	1	yes	no	no	no	no
131	Norconk 1996		Norconk, M.A. (1996). Seasonal variation in the diets of white-faced and bearded sakis (Pithecia pithecia and Chiropotes satanas) in Guri Lake, Venezuela. Adaptive Radiations of Neotropical Primates: 403-423.	7.759444	-62.861944	Phitecia Island	Venezuela	NA	yes	marked	yes	no	no	no	30	NA	100	0.08	12	monthly	rainy season	rainforest	1	yes	no	no	no	no
132	Oliveira & Paula 2001		Oliveira, P.E. and Paula, F. R. (2001). Fenologia e biologia reprodutiva de plantas de Matas de Galeria. Cerrado: caracterização e recuperação de Matas de Galeria: 303-334.	-15.833333	-47.833333	Rio Onça	Brazil	Distrito Federal	yes	unmarked	no	yes	no	no	87	NA	NA	NA	12	irregular	non-available	seasonally flooded forests	7					
133	Oliveira & Paula 2001		Oliveira, P.E. and Paula, F. R. (2001). Fenologia e biologia reprodutiva de plantas de Matas de Galeria. Cerrado: caracterização e recuperação de Matas de Galeria: 303-334.	-19.183333	-48.4	EE Panga	Brazil	Minas Gerais	yes	unmarked	no	yes	no	no	155	NA	NA	NA	12	irregular	non-available	cerrado woodland	7	yes	yes	no	yes	no
134	Opler et al 1980	10.2307/2259250	Opler, P. A., Frankie, G. W. and Baker, H. G. (1980). Comparative phenological studies of treelet and shrub species in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 68(1): 167-188.	10.5335	-85.315	Comelco Ranch, Hill forest	Costa Rica	NA	yes	marked	no	no	no	no	24	NA	NA	NA	12	monthly	non-available	tropical dry forest	2	no	yes	no	no	treelets
135	Opler et al 1980	10.2307/2259250	Opler, P. A., Frankie, G. W. and Baker, H. G. (1980). Comparative phenological studies of treelet and shrub species in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 68(1): 167-188.	10.422	-84.015	La Selva, mature forest	Costa Rica	NA	yes	marked	no	no	no	no	92	NA	NA	NA	24	every six weeks	aseasonal	rainforest	1	no	yes	no	no	treelets
136	Opler et al 1980	10.2307/2259250	Opler, P. A., Frankie, G. W. and Baker, H. G. (1980). Comparative phenological studies of treelet and shrub species in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 68(1): 167-188.	10.425086	-85.089722	Finca la Pacifica, Riparian forest	Costa Rica	NA	yes	marked	no	no	no	no	27	NA	NA	NA	12	every six weeks	aseasonal	tropical dry forest	2	no	yes	no	no	treelets
137	Opler et al 1980	10.2307/2259250	Opler, P. A., Frankie, G. W. and Baker, H. G. (1980). Comparative phenological studies of treelet and shrub species in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 68(1): 167-188.	10.5335	-85.315	Comelco Ranch, Riparian Forest	Costa Rica	NA	yes	marked	no	no	no	no	27	NA	NA	NA	12	monthly	non-available	tropical dry forest	2	no	yes	no	no	treelets
138	Opler et al 1980	10.2307/2259250	Opler, P. A., Frankie, G. W. and Baker, H. G. (1980). Comparative phenological studies of treelet and shrub species in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 68(1): 167-188.	10.5335	-85.315	Comelco Ranch, secondary Forest	Costa Rica	NA	yes	marked	no	no	no	no	40	NA	NA	NA	24	monthly	non-available	tropical dry forest	2	no	yes	no	no	treelets
139	Opler et al 1980	10.2307/2259250	Opler, P. A., Frankie, G. W. and Baker, H. G. (1980). Comparative phenological studies of treelet and shrub species in tropical wet and dry forests in the lowlands of Costa Rica. Journal of Ecology 68(1): 167-188.	10.422	-84.015	La Selva, secondary forest	Costa Rica	NA	yes	marked	no	no	no	no	45	NA	NA	NA	27	every six weeks	aseasonal	rainforest	1	no	yes	no	no	treelets
140	Ortiz 1990		Ortiz, R. (1990). Fenologia de Arboles en un bosque semideciduo tropical del estado de Cojedés. Acta Botánica Venezuélica 16(1): 93-116.	9.287222	-68.113333	Cojedes	Venezuela	NA	yes	marked	no	no	no	no	14	NA	NA	NA	12	monthly	dry season	open grassy savanna	7	yes	no	no	no	no
