ECO_ID	eco_id2	eco_name	area	sp_wfig	sp_range	data_sit	comments
51102	NA1102	Aleutian Islands tundra	5465	388	x	1	
51103	NA1103	Arctic coastal tundra	98164	539	x	1	
51104	NA1104	Arctic foothills tundra	129078	580	x	1	
51105	NA1105	Baffin coastal tundra	9104	135	x	1	
51106	NA1106	Beringia lowland tundra	150932	553	x	1	
51107	NA1107	Beringia upland tundra	97348	538	x	1	
51108	NA1108	Brooks/British Range tundra	159491	593	x	1	
51109	NA1109	Davis Highlands tundra	87876	216	x	1	
51110	NA1110	High Arctic tundra	463687	245	x	1	
51111	NA1111	Interior Yukon/Alaska alpine tundra	232624	617	x	1	
51112	NA1112	Kalaallit Nunaat high arctic tundra	303600	200	100-300	3	
51113	NA1113	Kalaallit Nunaat low arctic tundra	171020	480	450-520	3	
51114	NA1114	Low Arctic tundra	796523	497	x	1	
51115	NA1115	Middle Arctic tundra	1032794	371	x	1	
51116	NA1116	Ogilvie/MacKenzie alpine tundra	208448	589	x	1	
51117	NA1117	Pacific Coastal Mountain icefields and tundra	106769	792	x	1	
51118	NA1118	Torngat Mountain tundra	32287	286	x	1	
51201	NA1201	California coastal sage and chaparral	36269	1650	1550-1750	2	
51202	NA1202	California interior chaparral and woodlands	64599	2105	x	1	
51203	NA1203	California montane chaparral and woodlands	20408	2075	x	1	
51301	NA1301	Baja California desert	77712	1900	1500-2200	3	
51302	NA1302	Central Mexican matorral	59357	3200	2500-4500	3	
51303	NA1303	Chihuahuan desert	509507	3500	3300-3600	1	
51304	NA1304	Colorado Plateau shrublands	326390	2556	x	1	
51305	NA1305	Great Basin shrub steppe	335868	2519	x	1	
51306	NA1306	Gulf of California xeric scrub	23579	1300	900-1900	3	
51307	NA1307	Meseta Central matorral	125268	3500	3000-4500	4	
51308	NA1308	Mojave desert	130634	2490	x	1	
51309	NA1309	Snake/Columbia shrub steppe	218112	2169	x	1	
51310	NA1310	Sonoran desert	223009	2700	2600-3000	1	
51311	NA1311	Tamaulipan matorral	16271	1900	1500-2500	3	
51312	NA1312	Tamaulipan mezquital	141472	1900	1700-2500	3	
51313	NA1313	Wyoming Basin shrub steppe	132362	1557	x	1	
51401	NA1401	Northwest Mexican Coast mangroves	4985	200	20-400	4	
60101	NT0101	Araucaria moist forests	216073	4500	4000-5000	2	
60102	NT0102	Atlantic Coast restingas	7870	1500	700-2500	4	
60103	NT0103	Bahia coastal forests	109677	5000	4000-6000	3	
60104	NT0104	Bahia interior forests	229976	6000	5000-7500	3	
60105	NT0105	Bolivian Yungas	90549	6000	5000-8000	2	
60106	NT0106	Caatinga Enclaves moist forests	4797	1500	1000-2200	3	
60107	NT0107	Caqueta moist forests	184193	9000	7000-11000	3	
60108	NT0108	Catatumbo moist forests	8060	1900	1500-2500	3	
60109	NT0109	Cauca Valley montane forests	32057	4500	4000-6000	4	
60110	NT0110	Cayos Miskitos-San Andres & Providencia moist forests	96	350	150-550	4	
60111	NT0111	Central American Atlantic moist forests	89471	4100	3000-5000	3	
60112	NT0112	Central American montane forests	13298	3500	2900-4500	3	
60113	NT0113	Chiapas montane forests	5778	3800	3000-4500	3	
60114	NT0114	Chimalapas montane forests	2084	2500	2000-3000	3	
60115	NT0115	Choco-Darien moist forests	73629	9000	7000-10000	2	
60116	NT0116	Cocos Island moist forests	25	320	250-400	1	
60117	NT0117	Cordillera La Costa montane forests	14342	3700	3000-4500	2	
60118	NT0118	Cordillera Oriental montane forests	67873	5500	4000-7000	3	
60119	NT0119	Costa Rican seasonal moist forests	10696	3300	2500-4500	4	
60120	NT0120	Cuban moist forests	21395	3500	2500-4000	3	
60121	NT0121	Eastern Cordillera real montane forests	102497	6500	5500-8000	2	
60122	NT0122	Eastern Panamanian montane forests	3044	3300	2500-4000	3	
60123	NT0123	Fernanda de Noronha-Atol das Rocas moist forests	19	80	40-150	3	
60124	NT0124	Guayanan Highlands moist forests	337587	8000	6500-9000	2	
60125	NT0125	Guianan moist forests	512888	8000	7500-9000	1	
60126	NT0126	Gurupa varzea	9926	2500	1800-4000	4	
60127	NT0127	Hispaniolan moist forests	45954	3800	3300-4300	3	
60128	NT0128	Iquitos varzea	115037	3200	2700-4500	2	
60129	NT0129	Isthmian-Atlantic moist forests	58912	8000	5000-11000	3	
60130	NT0130	Isthmian-Pacific moist forests	29301	6500	5000-8000	3	
60131	NT0131	Jamaican moist forests	8296	2800	2500-3100	3	
60132	NT0132	Japura-Solimoes-Negro moist forests	269665	8000	5000-10000	3	
60133	NT0133	Jurua-Purus moist forests	242564	5000	4000-6500	4	
60134	NT0134	Leeward Islands moist forests	989	1500	1400-1900	3	
60135	NT0135	Madeira-Tapajos moist forests	719692	6000	4500-7000	4	
60136	NT0136	Magdalena Valley montane forests	105061	5500	4000-7000	4	
60137	NT0137	Magdalena-Uraba moist forests	76767	4500	3500-5500	4	
60138	NT0138	Marajo Varzea forests	88707	3500	2500-4000	4	
60139	NT0139	Maranhao Babacu forests	142270	3200	2500-4000	4	
60140	NT0140	Mato Grosso tropical dry forests	414005	4000	3500-5000	4	
60141	NT0141	Monte Alegre varzea	66803	4500	3000-5000	3	
60142	NT0142	Napo moist forests	251729	7000	6000-10000	2	
60143	NT0143	Negro-Branco moist forests	212856	6500	5000-8000	3	
60144	NT0144	Northeastern Brazil restingas	10056	1000	500-1500	4	
60145	NT0145	Northwestern Andean montane forests	81168	6500	5500-7000	2	
60146	NT0146	Oaxacan montane forests	7600	3200	2500-3700	3	
60147	NT0147	Orinoco Delta swamp forests	28147	1700	1500-2300	4	
60148	NT0148	Pantanos de Centla	17209	1900	1500-3000	2	
60149	NT0149	Paramaribo swamp forests	7724	700	500-1000	2	
60150	NT0150	Parana-Paraiba interior forests	483830	6500	4500-8000	3	
60151	NT0151	Pernambuco coastal forests	17576	3000	1500-4000	4	
60152	NT0152	Pernambuco interior forests	22693	2500	1500-3500	4	
60153	NT0153	Peruvian Yungas	186717	6500	5000-8000	2	
60154	NT0154	Peten-Veracruz moist forests	149095	6500	5000-8000	2	
60155	NT0155	Puerto Rican moist forests	7528	1800	1700-2100	2	
60156	NT0156	Purus varzea	177549	5000	3500-6000	4	
60157	NT0157	Purus-Madeira moist forests	174016	5000	3500-6500	4	
60158	NT0158	Rio Negro campinarana	80864	3000	2500-5000	4	
60159	NT0159	Santa Marta montane forests	4785	1600	900-1900	2	
60160	NT0160	Serra do Mar coastal forests	104839	9000	6000-11000	2	
60161	NT0161	Sierra de los Tuxtlas	3903	2750	2400-3500	1	
60162	NT0162	Sierra Madre de Chiapas moist forest	11259	4100	3500-4700	4	
60163	NT0163	Solimoes-Japura moist forest	167659	7000	5500-11000	2	
60164	NT0164	South Florida rocklands	2075	1034	x	1	
60165	NT0165	Southern Andean Yungas	61126	3500	2500-4000	3	
60166	NT0166	Southwest Amazon moist forests	749747	8500	6000-9000	2	
60167	NT0167	Talamancan montane forests	16341	8500	6000-11000	2	
60168	NT0168	Tapajos-Xingu moist forests	336575	5000	4000-6000	4	
60169	NT0169	Tepuis	48844	2900	2300-4000	1	
60170	NT0170	Tocantins-Araguaia-Maranhao moist forests	193637	4500	3500-5000	4	
60171	NT0171	Trinidad and Tobago moist forests	4742	2100	2000-2300	2	
60172	NT0172	Trinidade-Martin Vaz Islands tropical forests	11	120	30-200	4	
60173	NT0173	Uatuma-Trombetas moist forests	473119	6500	5500-8000	3	
60174	NT0174	Ucayali moist forests	114937	4050	3500-6000	2	
60175	NT0175	Venezuelan Andes montane forests	29391	4500	3500-5500	2	
60176	NT0176	Veracruz moist forests	69129	6000	4500-7000	3	
60177	NT0177	Veracruz montane forests	4957	2700	2200-3500	4	
60178	NT0178	Western Ecuador moist forests	34108	5300	4500-7000	1	
60179	NT0179	Windward Islands moist forests	2019	1600	1400-1900	2	
60180	NT0180	Xingu-Tocantins-Araguaia moist forests	266242	5000	4000-6000	4	
60181	NT0181	Yucatan moist forests	69696	1600	1300-1900	2	
60182		Guianan piedmont and lowland moist forest	229836	6500			estimated
60201	NT0201	Apure-Villavicencio dry forests	68544	1800	1200-2500	4	
60202	NT0202	Atlantic dry forests	115108	2000	1000-3500	4	
60203	NT0203	Bahamian dry forests	4796	900	700-1000	2	
60204	NT0204	Baj›o dry forests	37388	4200	2900-5000	3	
60205	NT0205	Balsas dry forests	62445	4300	2500-5100	3	
60206	NT0206	Bolivian montane dry forests	80330	900	600-1500	2	
60207	NT0207	Cauca Valley dry forests	7345	1000	500-1500	4	
60208	NT0208	Cayman Islands dry forests	133	480	400-520	2	
60209	NT0209	Central American dry forests	68033	3300	2800-4000	3	
60210	NT0210	Chaco	609552	990	900-1200	2	
60211	NT0211	Chiapas Depression dry forests	14022	2100	1500-3500	3	
60212	NT0212	Chiquitano dry forests	230571	1200	800-1500	2	
60213	NT0213	Cuban dry forests	65789	2500	1500-4000	3	
60214	NT0214	Ecuadorian dry forests	21284	1250	1000-2500	2	
60215	NT0215	Hispaniolan dry forests	15494	1500	1000-2000	3	
60216	NT0216	Islas Revillagigedo dry forests	214	110	100-120	1	
60217	NT0217	Jalisco dry forests	26130	1500	1000-2500	2	
60218	NT0218	Jamaican dry forests	2318	1100	800-1500	3	
60219	NT0219	Lara-Falcon dry forests	16939	900	700-1500	3	
60220	NT0220	Leeward Islands dry forests	149	200	150-250	3	
60221	NT0221	Magdalena Valley dry forests	19637	1300	1000-1900	4	
60222	NT0222	Maracaibo dry forests	44999	1500	800-1800	4	
60223	NT0223	Maranon dry forests	11372	1400	1000-2000	3	
60224	NT0224	Panamanian dry forests	5109	1900	1000-3000	4	
60225	NT0225	Patia Valley dry forests	2271	900	500-1500	4	
60226	NT0226	Puerto Rican dry forests	1277	900	800-950	2	
60227	NT0227	Sierra de la Laguna dry forests	3984	550	500-1000	1	
60228	NT0228	Sinaloan dry forests	77534	2100	1700-2500	2	
60229	NT0229	Sinu Valley dry forests	24983	1100	1000-1500	4	
60230	NT0230	Southern Pacific dry forests	42427	4000	2500-5100	3	
60231	NT0231	Trinidad and Tobago dry forests	271	600	300-1000	3	
60232	NT0232	Tumbes-Piura dry forests	41283	800	600-1000	2	
60233	NT0233	Veracruz dry forests	6636	1100	900-2000	4	
60234	NT0234	Windward Islands dry forests	491	450	250-650	3	
60235	NT0235	Yucatan dry forests	49767	1150	1000-1300	2	
60301	NT0301	Bahamian pine forests	2090	750	500-900	3	
60302	NT0302	Belizian pine forests	2832	1500	1000-2500	4	
60303	NT0303	Central American pine-oak forests	111351	4900	4000-6000	3	
60304	NT0304	Cuban pine forests	6423	1500	800-2200	4	
60305	NT0305	Hispaniolan pine forests	11596	2200	1800-2800	3	
60306	NT0306	Miskito pine forests	18912	1800	1400-2500	4	
60307	NT0307	Sierra de la Laguna pine-oak forests	1064	800	700-1200	1	
60308	NT0308	Sierra Madre de Oaxaca pine-oak forests	14346	3100	2500-3700	2	
60309	NT0309	Sierra Madre del Sur pine-oak forests	61175	4200	3600-5000	3	
60310	NT0310	Trans-Mexican Volcanic Belt pine-oak forests	91823	4900	4000-6000	3	
60401	NT0401	Juan Fernandez Islands temperate forests	146	225	212-225	1	
60402	NT0402	Magellanic subpolar forests	147247	450	400-650	3	
60403	NT0403	San Felix-San Ambrosio Islands temperate forests	6	22	22-23	1	
60404	NT0404	Valdivian temperate forests	248087	800	600-1000	2	
60701	NT0701	Arid Chaco	98857	600	500-800	3	
60702	NT0702	Beni savanna	126065	1500	1500-5000	1	
60703	NT0703	Campos Rupestres montane savanna	26395	1500	1000-2000	3	
60704	NT0704	Cerrado	1916881	6500	6500-8000	1	
60705	NT0705	Clipperton Island shrub and grasslands	7	30	15-31	1	
60706	NT0706	Cordoba montane savanna	58153	400	200-600	3	
60707	NT0707	Guyanan savanna	104356	1200	700-2000	4	
60708	NT0708	Humid Chaco	334751	1100	800-1500	3	
60709	NT0709	Llanos	388998	2600	2000-3000	2	
60710	NT0710	Uruguayan savanna	355674	2500	2000-2700	2	
60801	NT0801	Argentine Espinal	108810	700	500-1000	4	
60802	NT0802	Argentine Monte	409038	700	500-1000	1	
60803	NT0803	Humid Pampas	240794	1750	1500-2000	2	
60804	NT0804	Patagonian grasslands	63165	550	450-700	2	
60805	NT0805	Patagonian steppe	487249	1200	1100-1200	2	
60806	NT0806	Semi-arid Pampas	327010	1300	1000-1800	2	
60901	NT0901	Central Mexican wetlands	280	300	100-600	4	
60902	NT0902	Cuban wetlands	5663	900	600-1500	4	
60903	NT0903	Enriquillo wetlands	630	400	200-700	4	
60904	NT0904	Everglades	20066	1362	x	1	
60905	NT0905	Guayaquil flooded grasslands	2937	1050	800-1400	3	
60906	NT0906	Orinoco wetlands	6013	1100	900-1600	3	
60907	NT0907	Pantanal	171054	1700	1500-2000	1	
60908	NT0908	Parana flooded savanna	38868	1400	1200-1600	4	
60909	NT0909	Southern Cone Mesopotamian savanna	77634	1400	1200-2000	4	
61001	NT1001	Central Andean dry puna	307377	1100	900-1400	4	
61002	NT1002	Central Andean puna	161410	1200	1000-1500	2	
61003	NT1003	Central Andean wet puna	117318	1300	1100-1500	2	
61004	NT1004	Cordillera Central paramo	12174	1500	1000-2000	2	
61005	NT1005	Cordillera de Merida paramo	2810	700	400-1000	3	
61006	NT1006	Northern Andean paramo	29969	2500	2000-3500	2	
61007	NT1007	Santa Marta paramo	1244	800	400-1000	2	
61008	NT1008	Southern Andean steppe	178235	800	600-1200	4	
61009	NT1009	Zacatonal	302	200	150-500	1	
61201	NT1201	Chilean matorral	148509	2600	2300-3000	2	
61301	NT1301	Araya and Paria xeric scrub	5283	1400	1200-2000	2	
61302	NT1302	Aruba-Curacao-Bonaire cactus scrub	458	450	400-800	2	
61303	NT1303	Atacama desert	105174	800	600-1000	2	
61304	NT1304	Caatinga	734406	1500	1200-2000	1	
61305	NT1305	Cayman Islands xeric scrub	23	320	100-400	3	
61306	NT1306	Cuban cactus scrub	3265	900	500-1300	4	
61307	NT1307	Galapagos Islands xeric scrub	8014	541	541	1	
61308	NT1308	Guajira-Barranquilla xeric scrub	31605	900	500-1500	3	
61309	NT1309	La Costa xeric shrublands	68465	1700	1500-2000	3	
61310	NT1310	Leeward Islands xeric scrub	1644	800	600-1000	2	
61311	NT1311	Malpelo Island xeric scrub	8	80	20-300	4	
61312	NT1312	Motagua Valley thornscrub	2337	1400	600-1800	4	
61313	NT1313	Paraguana xeric scrub	15974	1200	800-1500	4	
61314	NT1314	San Lucan xeric scrub	3877	550	400-800	4	
61315	NT1315	Sechura desert	184915	1050	600-1200	2	
61316	NT1316	Tehuacan Valley matorral	9892	2700	2500-3100	2	
61317	NT1317	Windward Islands xeric scrub	1028	650	600-800	2	
61318	NT1318	St. Peter and St. Paul rocks	8	0	x	1	
61401	NT1401	Alvarado mangroves	4546	200	20-400	4	
61402	NT1402	Amapa mangroves	1562	200	20-400	4	
61403	NT1403	Bahamian mangroves	6615	200	20-400	4	
61404	NT1404	Bahia mangroves	2119	200	20-400	4	
61405	NT1405	Belizean Coast mangroves	2795	200	20-400	4	
61406	NT1406	Belizean Reef mangroves	236	200	20-400	4	
61407	NT1407	Bocas del Toro-San Bastimentos Island-San Blas mangroves	541	200	20-400	4	
61408	NT1408	Coastal Venezuelan mangroves	5845	200	20-400	4	
61409	NT1409	Esmeraldes-Pacific Colombia mangroves	6518	200	20-400	4	
61410	NT1410	Greater Antilles mangroves	10645	200	20-400	4	
61411	NT1411	Guianan mangroves	14570	200	20-400	4	
61412	NT1412	Gulf of Fonseca mangroves	1624	200	20-400	4	
61413	NT1413	Gulf of Guayaquil-Tumbes mangroves	3314	200	20-400	4	
61414	NT1414	Gulf of Panama mangroves	2424	200	20-400	4	
61415	NT1415	Ilha Grande mangroves	3206	200	20-400	4	
61416	NT1416	Lesser Antilles mangroves	651	200	20-400	4	
61417	NT1417	Magdalena-Santa Marta mangroves	3195	200	20-400	4	
61418	NT1418	Manabi mangroves	1149	200	20-400	4	
61419	NT1419	Maranhao mangroves	11309	200	20-400	4	
61420	NT1420	Marismas Nacionales-San Blas mangroves	2040	200	20-400	4	
61421	NT1421	Mayan Corridor mangroves	4091	200	20-400	4	
61422	NT1422	Mexican South Pacific Coast mangroves	1173	200	20-400	4	
61423	NT1423	Moist Pacific Coast mangroves	1598	200	20-400	4	
61424	NT1424	Mosquita-Nicaraguan Caribbean Coast mangroves	4437	200	20-400	4	
61425	NT1425	Northern Dry Pacific Coast mangroves	1057	200	20-400	4	
61426	NT1426	Northern Honduras mangroves	1054	200	20-400	4	
61427	NT1427	Para mangroves	4413	200	20-400	4	
61428	NT1428	Petenes mangroves	1977	200	20-400	4	
61429	NT1429	Piura mangroves	117	200	20-400	4	
61430	NT1430	Rio Lagartos mangroves	3466	200	20-400	4	
61431	NT1431	Rio Negro-Rio San Sun mangroves	478	200	20-400	4	
61432	NT1432	Rio Piranhas mangroves	2114	200	20-400	4	
61433	NT1433	Rio Sao Francisco mangroves	2617	200	20-400	4	
61434	NT1434	Southern Dry Pacific Coast mangroves	906	200	20-400	4	
61435	NT1435	Tehuantepec-El Manchon mangroves	2695	200	20-400	4	
61436	NT1436	Trinidad mangroves	187	200	20-400	4	
61437	NT1437	Usumacinta mangroves	3130	200	20-400	4	
70101	OC0101	Carolines tropical moist forests	575	1150	1100-1200	2	
70102	OC0102	Central Polynesian tropical moist forests	614	50	40-60	2	
70103	OC0103	Cook Islands tropical moist forests	214	130	120-280	2	
70104	OC0104	Eastern Micronesia tropical moist forests	515	110	90-150	2	
70105	OC0105	Fiji tropical moist forests	11621	1450	1400-1600	2	
70106	OC0106	Hawaii tropical moist forests	6737	935	x	1	
70107	OC0107	Kermadec Islands subtropical moist forests	34	113	x	1	
70108	OC0108	Marquesas tropical moist forests	1077	318	x	1	
70109	OC0109	Ogasawara subtropical moist forests	96	500	450-550	2	
70110	OC0110	Palau tropical moist forests	464	175	x	1	
70111	OC0111	Rapa Nui - Sala-y-Gomez subtropical broadleaf forests	178	30	29-33	1	
70112	OC0112	Samoan tropical moist forests	3093	775	775	1	
70113	OC0113	Society Islands tropical moist forests	1624	623	x	1	
70114	OC0114	Tongan tropical moist forests	933	480	450-520	2	
70115	OC0115	Tuamotu tropical moist forests	948	140	120-160	2	
70116	OC0116	Tubuai tropical moist forests	144	150	120-300	2	
70117	OC0117	Western Polynesian tropical moist forests	93	50	44-60	2	
70201	OC0201	Fiji tropical dry forests	6913	500	420-700	3	
70202	OC0202	Hawaii tropical dry forests	6633	659	x	1	
70203	OC0203	Marianas tropical dry forests	1036	400	340-500	2	
70204	OC0204	Yap tropical dry forests	101	120	50-250	3	
70701	OC0701	Hawaii tropical high shrublands	1852	124	x	1	
70702	OC0702	Hawaii tropical low shrublands	1521	384	x	1	
70703	OC0703	Northwestern Hawaii scrub	15	30	15-80	3	
80101	PA0101	Gizhou Plateau broadleaf and mixed forests	269541	3500	2500-5000	3	
80102	PA0102	Yunnan Plateau subtropical evergreen forests	240343	6000	5300-8000	2	
80401	PA0401	Appenine deciduous montane forests	16120	2500	2200-2800	3	
80402	PA0402	Atlantic mixed forests	399124	1900	1700-2200	3	
80403	PA0403	Azores temperate mixed forests	2615	510	490-600	2	
80404	PA0404	Balkan mixed forests	224367	3500	3200-4000	3	
80405	PA0405	Baltic mixed forests	116579	1700	1500-2000	2	
80406	PA0406	Cantabrian mixed forests	79710	2000	1800-2200	2	
80407	PA0407	Caspian Hyrcanian mixed forests	55107	2000	1300-3000	3	
80408	PA0408	Caucasus mixed forests	170277	5000	4700-5300	2	
80409	PA0409	Celtic broadleaf forests	209130	1600	1300-1900	2	
80410	PA0410	Central Anatolian deciduous forests	101412	2000	1200-2800	3	
80411	PA0411	Central China loess plateau mixed forests	359624	3100	2800-3400	3	
80412	PA0412	Central European mixed forests	731222	2300	1800-2800	3	
80413	PA0413	Central Korean deciduous forests	104558	2000	1700-2500	3	
80414	PA0414	Changbai Mountains mixed forests	93298	2500	2200-2800	2	
80415	PA0415	Changjiang Plain evergreen forests	438022	3000	2500-4000	3	
80416	PA0416	Crimean Submediterranean forest complex	30149	2600	2300-3000	2	
80417	PA0417	Daba Mountains evergreen forests	168303	4500	3500-6000	3	
80418	PA0418	Dinaric Mountains mixed forests	58166	3700	3200-4200	3	
80419	PA0419	East European forest steppe	727155	1900	1600-2200	2	
80420	PA0420	Eastern Anatolian deciduous forests	81564	2800	2400-3200	3	
80421	PA0421	English Lowlands beech forests	45596	1300	1250-1400	2	
80422	PA0422	Euxine-Colchic deciduous forests	74412	3200	2800-3600	3	
80423	PA0423	Hokkaido deciduous forests	25535	1200	800-1800	4	
80424	PA0424	Huang He Plain mixed forests	434199	2800	2300-3300	2	
80425	PA0425	Madeira evergreen forests	815	760	x	1	
80426	PA0426	Manchurian mixed forests	504011	2200	2000-2500	2	
80427	PA0427	Nihonkai evergreen forests	21632	1700	1000-2500	4	
80428	PA0428	Nihonkai montane deciduous forests	82301	2500	2000-3000	3	
80429	PA0429	North Atlantic moist mixed forests	38650	600	400-800	3	
80430	PA0430	Northeast China Plain deciduous forests	232452	1800	1500-2200	3	
80431	PA0431	Pannonian mixed forests	306893	2700	2400-3000	2	
80432	PA0432	Po Basin mixed forests	42363	1200	800-1600	4	
80433	PA0433	Pyrenees conifer and mixed forests	25886	3300	3000-3500	2	
80434	PA0434	Qin Ling Mountains deciduous forests	123327	3400	3100-3700	2	
80435	PA0435	Rodope montane mixed forests	31635	3000	2500-3500	2	
80436	PA0436	Sarmatic mixed forests	846110	1800	1500-2100	2	
80437	PA0437	Sichuan Basin evergreen broadleaf forests	98117	3000	2000-5000	3	
80438	PA0438	South Sakhalin-Kurile mixed forests	12532	1000	900-1100	2	
80439	PA0439	Southern Korea evergreen forests	14726	2300	1900-2600	3	
80440	PA0440	Taiheiyo evergreen forests	138298	3000	2400-4000	4	
80441	PA0441	Taiheiyo montane deciduous forests	41905	2700	2000-3400	4	
80442	PA0442	Tarim Basin deciduous forests and steppe	54472	600	400-900	4	
80443	PA0443	Ussuri broadleaf and mixed forests	197427	1800	1500-2100	2	
80444	PA0444	West Siberian broadleaf and mixed forests	223406	1200	900-1500	3	
80445	PA0445	Western European broadleaf forests	492329	2900	2500-3300	2	
80446	PA0446	Zagros Mountains forest steppe	397761	1800	1200-2500	3	
80501	PA0501	Alps conifer and mixed forests	149481	5000	4500-5500	2	
80502	PA0502	Altai montane forest and forest steppe	142445	2000	1700-2300	3	
80503	PA0503	Caledon conifer forests	22000	500	300-800	3	
80504	PA0504	Carpathian montane conifer forests	124964	2700	2500-3000	2	
80505	PA0505	Da Hinggan-Dzhagdy Mountains conifer forests	248308	800	700-1000	2	
80506	PA0506	East Afghan montane conifer forests	20084	1300	800-1800	4	
80507	PA0507	Elburz Range forest steppe	63265	700	500-1000	4	
80508	PA0508	Helanshan montane conifer forests	24685	700	600-800	3	
80509	PA0509	Hengduan Mountains subalpine conifer forests	99421	3000	2000-4000	3	
80510	PA0510	Hokkaido montane conifer forests	45765	1400	1000-2000	3	
80511	PA0511	Honshu alpine conifer forests	11495	1300	800-2000	3	
80512	PA0512	Khangai Mountains conifer forests	2893	1200	1000-1400	2	
80513	PA0513	Mediterranean conifer and mixed forests	23358	2300	1800-2800	3	
80514	PA0514	Northeastern Himalayan subalpine conifer forests	46277	2500	1800-3500	3	
80515	PA0515	Northern Anatolian conifer and deciduous forests	101290	2200	1500-3000	3	
80516	PA0516	Nujiang Langcang Gorge alpine conifer and mixed forests	82809	3500	2500-5000	3	
80517	PA0517	Qilian Mountains conifer forests	16652	1500	1000-2000	3	
80518	PA0518	Qionglai-Minshan conifer forests	80216	5000	4000-6000	3	
80519	PA0519	Sayan montane conifer forests	357394	1200	1000-1600	2	
80520	PA0520	Scandinavian coastal conifer forests	19283	600	400-1000	3	
80521	PA0521	Tian Shan montane conifer forests	27519	1500	1000-2000	3	
80601	PA0601	East Siberian taiga	3899749	1400	1200-1600	2	
80602	PA0602	Iceland boreal birch forests and alpine tundra	91464	377	377	1	
80603	PA0603	Kamchatka-Kurile meadows and sparse forests	146380	700	600-800	3	
80604	PA0604	Kamchatka-Kurile taiga	15220	500	400-700	3	
80605	PA0605	Northeast Siberian taiga	1125724	800	650-900	2	
80606	PA0606	Okhotsk-Manchurian taiga	401936	1100	900-1300	3	
80607	PA0607	Sakhalin Island taiga	68697	600	500-800	3	
80608	PA0608	Scandinavian and Russian taiga	2156918	1400	1200-1600	2	
80609	PA0609	Trans-Baikal conifer forests	200451	1000	900-1200	2	
80610	PA0610	Urals montane tundra and taiga	174588	1600	1400-1800	2	
80611	PA0611	West Siberian taiga	1670381	900	700-1200	2	
80801	PA0801	Alai-Western Tian Shan steppe	127516	2100	2000-2400	2	
80802	PA0802	Altai steppe and semi-desert	82935	1200	800-1600	4	
80803	PA0803	Central Anatolian steppe	24914	1000	500-1500	4	
80804	PA0804	Daurian forest steppe	208918	1200	900-1500	3	
80805	PA0805	Eastern Anatolian montane steppe	168246	2500	2300-3000	3	
80806	PA0806	Emin Valley steppe	64968	1500	1000-2000	4	
80807	PA0807	Faroe Islands boreal grasslands	1447	327	x	1	
80808	PA0808	Gissaro-Alai open woodlands	167988	3500	2800-4000	2	
80809	PA0809	Kazakh forest steppe	420460	1200	1100-1300	2	
80810	PA0810	Kazakh steppe	804451	1800	1500-2000	2	
80811	PA0811	Kazakh upland	71947	1000	800-1300	3	
80812	PA0812	Middle East steppe	132292	1400	800-2000	4	
80813	PA0813	Mongolian-Manchurian grassland	887292	1200	1000-1400	2	
80814	PA0814	Pontic steppe	994014	2800	2600-3200	2	
80815	PA0815	Sayan Intermontane steppe	33929	700	400-1000	3	
80816	PA0816	Selenge-Orkhon forest steppe	227636	1000	700-1400	4	
80817	PA0817	South Siberian forest steppe	161858	1300	1100-1600	2	
80818	PA0818	Tian Shan foothill arid steppe	128992	1700	1200-2500	3	
80901	PA0901	Amur meadow steppe	123234	900	600-1400	4	
80902	PA0902	Bohai Sea saline meadow	11557	300	100-500	4	
80903	PA0903	Nenjiang River grassland	23199	600	400-1000	4	
80904	PA0904	Nile Delta flooded savanna	50524	800	500-1100	3	
80905	PA0905	Saharan halophytics	53950	100	50-200	3	
80906	PA0906	Tigris-Euphrates alluvial salt marsh	35602	400	200-700	4	
80907	PA0907	Ussuri-Wusuli meadow and forest meadow	33759	1000	600-1400	3	
80908	PA0908	Yellow Sea saline meadow	5322	300	100-500	4	
81001	PA1001	Altai alpine meadow and tundra	90151	1800	1300-2300	3	
81002	PA1002	Central Tibetan Plateau alpine steppe	629464	1000	700-1300	3	
81003	PA1003	Eastern Himalayan alpine shrub and meadows	121186	1500	1000-2000	4	
81004	PA1004	Ghorat-Hazarajat alpine meadow	66495	1200	800-1500	4	
81005	PA1005	Hindu Kush alpine meadow	28261	800	500-1100	3	
81006	PA1006	Karakoram-West Tibetan Plateau alpine steppe	143281	1500	1200-1700	2	
81007	PA1007	Khangai Mountains alpine meadow	37062	500	300-800	3	
81008	PA1008	Kopet Dag woodlands and forest steppe	58285	1800	1700-2000	2	
81009	PA1009	Kuhrud-Kohbanan Mountains forest steppe	126342	1500	1000-2000	4	
81010	PA1010	Mediterranean High Atlas juniper steppe	6332	1000	800-1200	2	
81011	PA1011	North Tibetan Plateau-Kunlun Mountains alpine desert	374427	800	600-1000	3	
81012	PA1012	Northwestern Himalayan alpine shrub and meadows	49405	1500	1200-1700	3	
81013	PA1013	Ordos Plateau steppe	215466	1100	900-1300	3	
81014	PA1014	Pamir alpine desert and tundra	117989	900	700-1100	2	
81015	PA1015	Qilian Mountains subalpine meadow	73229	900	500-1400	4	
81016	PA1016	Sayan Alpine meadow and tundra	80898	1000	600-1500	3	
81017	PA1017	Southeast Tibet shrublands and meadow	460818	2500	1500-4000	3	
81018	PA1018	Sulaiman Range alpine meadows	23869	800	400-1200	3	
